apprendimento policy e Q
----------------------------------
griglia (30x15):
..............................
###...........................
..#.####...............##.....
..#.#..#.............##.###...
.##.#..#.............#....#...
.#S.#..#....#........#....#...
.####..#....#........#G...#...
.......###.#######...##..#....
.......#....#.........#..#....
.......#....#.........#..#....
.......#....#......####..#....
............######......##....
..............................
..............................
..............................

X,Y,Azione Ottimale,Valore Q Ottimale,Q_Su,Q_Giu,Q_Sinistra,Q_Destra
2,14,Destra,2.51036,2.37228,2.0891,2.27393,2.51036
3,14,Destra,2.51541,2.23393,1.43053,2.38766,2.51541
4,14,Su,2.21525,2.21525,1.48374,1.9502,2.15503
5,14,Destra,2.25372,2.03016,1.111,2.16624,2.25372
6,14,Destra,1.86828,1.70746,1.12127,1.7105,1.86828
7,14,Destra,2.10041,2.00059,1.56913,1.93172,2.10041
8,14,Destra,2.10755,1.88868,1.73801,2.05395,2.10755
9,14,Destra,2.32015,2.12515,1.7634,2.11072,2.32015
10,14,Destra,2.64202,2.2624,1.60755,2.36609,2.64202
11,14,Destra,2.70031,2.60324,1.86478,2.61519,2.70031
12,14,Sinistra,3.59018,3.44815,2.69817,3.59018,3.34094
13,14,Sinistra,2.69388,2.59881,2.44764,2.69388,2.60762
14,14,Su,3.74483,3.74483,2.89667,3.62231,3.58393
15,14,Su,4.11779,4.11779,3.47773,3.67574,3.65911
16,14,Su,4.30593,4.30593,3.37216,3.82752,3.94705
17,14,Destra,4.8887,4.73117,3.69188,4.7344,4.8887
18,14,Su,5.81053,5.81053,4.85122,5.41079,5.00142
19,14,Destra,5.91121,5.573,4.55583,5.50555,5.91121
20,14,Su,5.83354,5.83354,4.76157,5.48719,5.8204
21,14,Su,6.23372,6.23372,5.51416,5.5906,6.14395
22,14,Su,6.48172,6.48172,4.88344,5.4845,6.07885
23,14,Su,6.78847,6.78847,5.20719,5.92125,6.22184
24,14,Sinistra,6.92818,6.50817,4.86541,6.92818,5.74239
25,14,Sinistra,7.09947,6.74435,6.31869,7.09947,6.1512
26,14,Sinistra,6.44296,6.24653,5.12058,6.44296,5.88481
27,14,Sinistra,4.74121,4.31251,3.49518,4.74121,4.02072
28,14,Su,3.14903,3.14903,2.02514,3.06431,2.95635
29,14,Sinistra,2.32959,2.1705,1.5277,2.32959,1.64665
